Entity,Code,Year,Annual COâ‚‚ emissions (tonnes )
Afghanistan,AFG,1949,14656
Afghanistan,AFG,1950,84272
Afghanistan,AFG,1951,91600
Afghanistan,AFG,1952,91600
Afghanistan,AFG,1953,106256
Afghanistan,AFG,1954,106256
Afghanistan,AFG,1955,153888
Afghanistan,AFG,1956,183200
Afghanistan,AFG,1957,293120
Afghanistan,AFG,1958,329760
Afghanistan,AFG,1959,384571.42
Afghanistan,AFG,1960,413883.42
Afghanistan,AFG,1961,490797.7
Afghanistan,AFG,1962,688594.27
Afghanistan,AFG,1963,706735.98
Afghanistan,AFG,1964,838550.83
Afghanistan,AFG,1965,1006916.53
Afghanistan,AFG,1966,1091158.82
Afghanistan,AFG,1967,1281865.11
Afghanistan,AFG,1968,1223389.69
Afghanistan,AFG,1969,941231.98
Afghanistan,AFG,1970,1670397.69
Afghanistan,AFG,1971,1893931.41
Afghanistan,AFG,1972,1531165.69
Afghanistan,AFG,1973,1637243.4
Afghanistan,AFG,1974,1915677.68
Afghanistan,AFG,1975,2124525.68
Afghanistan,AFG,1976,1984225.38
Afghanistan,AFG,1977,2386745.67
Afghanistan,AFG,1978,2155419.66
Afghanistan,AFG,1979,2234903.94
Afghanistan,AFG,1980,1757021.97
Afghanistan,AFG,1981,1979372.53
Afghanistan,AFG,1982,2095539.37
Afghanistan,AFG,1983,2520091.42
Afghanistan,AFG,1984,2822415.06
Afghanistan,AFG,1985,3501893.65
Afghanistan,AFG,1986,3134071.92
Afghanistan,AFG,1987,3114159.9
Afghanistan,AFG,1988,2857083.9
Afghanistan,AFG,1989,2764887.89
Afghanistan,AFG,1990,2602407.59
Afghanistan,AFG,1991,2426486.16
Afghanistan,AFG,1992,1381521.84
Afghanistan,AFG,1993,1333837.11
Afghanistan,AFG,1994,1282488.38
Afghanistan,AFG,1995,1231139.65
Afghanistan,AFG,1996,1165134.92
Afghanistan,AFG,1997,1084474.19
Afghanistan,AFG,1998,1029461.47
Afghanistan,AFG,1999,809568.74
Afghanistan,AFG,2000,768195.25
Afghanistan,AFG,2001,812074.37
Afghanistan,AFG,2002,1064074.85
Afghanistan,AFG,2003,1187070.59
Afghanistan,AFG,2004,941455.62
Afghanistan,AFG,2005,1320250.12
Afghanistan,AFG,2006,1643246
Afghanistan,AFG,2007,2268343.1
Afghanistan,AFG,2008,4198329.64
Afghanistan,AFG,2009,6760313.49
Afghanistan,AFG,2010,8452224.14
Afghanistan,AFG,2011,12226017.38
Afghanistan,AFG,2012,10742056.72
Afghanistan,AFG,2013,10000414.29
Afghanistan,AFG,2014,9789185.57
Afghanistan,AFG,2015,10107428.68
Afghanistan,AFG,2016,12257907.69
Afghanistan,AFG,2017,13014739.66
Africa,,1751,0
Africa,,1752,0
Africa,,1753,0
Africa,,1754,0
Africa,,1755,0
Africa,,1756,0
Africa,,1757,0
Africa,,1758,0
Africa,,1759,0
Africa,,1760,0
Africa,,1761,0
Africa,,1762,0
Africa,,1763,0
Africa,,1764,0
Africa,,1765,0
Africa,,1766,0
Africa,,1767,0
Africa,,1768,0
Africa,,1769,0
Africa,,1770,0
Africa,,1771,0
Africa,,1772,0
Africa,,1773,0
Africa,,1774,0
Africa,,1775,0
Africa,,1776,0
Africa,,1777,0
Africa,,1778,0
Africa,,1779,0
Africa,,1780,0
Africa,,1781,0
Africa,,1782,0
Africa,,1783,0
Africa,,1784,0
Africa,,1785,0
Africa,,1786,0
Africa,,1787,0
Africa,,1788,0
Africa,,1789,0
Africa,,1790,0
Africa,,1791,0
Africa,,1792,0
Africa,,1793,0
Africa,,1794,0
Africa,,1795,0
Africa,,1796,0
Africa,,1797,0
Africa,,1798,0
Africa,,1799,0
Africa,,1800,0
Africa,,1801,0
Africa,,1802,0
Africa,,1803,0
Africa,,1804,0
Africa,,1805,0
Africa,,1806,0
Africa,,1807,0
Africa,,1808,0
Africa,,1809,0
Africa,,1810,0
Africa,,1811,0
Africa,,1812,0
Africa,,1813,0
Africa,,1814,0
Africa,,1815,0
Africa,,1816,0
Africa,,1817,0
Africa,,1818,0
Africa,,1819,0
Africa,,1820,0
Africa,,1821,0
Africa,,1822,0
Africa,,1823,0
Africa,,1824,0
Africa,,1825,0
Africa,,1826,0
Africa,,1827,0
Africa,,1828,0
Africa,,1829,0
Africa,,1830,0
Africa,,1831,0
Africa,,1832,0
Africa,,1833,0
Africa,,1834,0
Africa,,1835,0
Africa,,1836,0
Africa,,1837,0
Africa,,1838,0
Africa,,1839,0
Africa,,1840,0
Africa,,1841,0
Africa,,1842,0
Africa,,1843,0
Africa,,1844,0
Africa,,1845,0
Africa,,1846,0
Africa,,1847,0
Africa,,1848,0
Africa,,1849,0
Africa,,1850,0
Africa,,1851,0
Africa,,1852,0
Africa,,1853,0
Africa,,1854,0
Africa,,1855,0
Africa,,1856,0
Africa,,1857,0
Africa,,1858,0
Africa,,1859,0
Africa,,1860,0
Africa,,1861,0
Africa,,1862,0
Africa,,1863,0
Africa,,1864,0
Africa,,1865,0
Africa,,1866,0
Africa,,1867,0
Africa,,1868,0
Africa,,1869,0
Africa,,1870,0
Africa,,1871,0
Africa,,1872,0
Africa,,1873,0
Africa,,1874,0
Africa,,1875,0
Africa,,1876,0
Africa,,1877,0
Africa,,1878,0
Africa,,1879,0
Africa,,1880,0
Africa,,1881,0
Africa,,1882,0
Africa,,1883,0
Africa,,1884,21984
Africa,,1885,36640
Africa,,1886,47632
Africa,,1887,47632
Africa,,1888,80608
Africa,,1889,131904
Africa,,1890,296784
Africa,,1891,296784
Africa,,1892,479984
Africa,,1893,1799024
Africa,,1894,2432896
Africa,,1895,3337904
Africa,,1896,4257568
Africa,,1897,4777856
Africa,,1898,6049264
Africa,,1899,5517984
Africa,,1900,2330304
Africa,,1901,3909488
Africa,,1902,5825760
Africa,,1903,7895920
Africa,,1904,8914512
Africa,,1905,10259200
Africa,,1906,11717472
Africa,,1907,12930256
Africa,,1908,13402912
Africa,,1909,15385136
Africa,,1910,17411328
Africa,,1911,16865392
Africa,,1912,17953600
Africa,,1913,19606064
Africa,,1914,19551104
Africa,,1915,19606064
Africa,,1916,23251744
Africa,,1917,25343888
Africa,,1918,24728336
Africa,,1919,25446480
Africa,,1920,28051584
Africa,,1921,27985632
Africa,,1922,23973552
Africa,,1923,29048192
Africa,,1924,30631040
Africa,,1925,32180912
Africa,,1926,34437936
Africa,,1927,33837040
Africa,,1928,34771360
Africa,,1929,35808272
Africa,,1930,33701472
Africa,,1931,29469552
Africa,,1932,26629952
Africa,,1933,28502256
Africa,,1934,32539984
Africa,,1935,35914528
Africa,,1936,39025264
Africa,,1937,41846544
Africa,,1938,44022960
Africa,,1939,46858896
